CBRNIAC_Number	AD_Number	Site_Holding	Title	Author(s)	Report_Number	Publish_Date	Corp_Author_Name	Distribution_Statement	Document_Classification
CB-075280		CB DW 535569 EDG E497848	Meeting of the Medical Committee, US Army Chemical Corps Advisory Council, 28-29 November 1960 at	Lewis, Patricia J.	AC-61-S-22 DPG-61-0913 CRDL-TL-61-S-603 H0603610064 CRDL-004-8-1	1961-04-01	CHEMICAL CORPS ARMY CHEMICAL CENTER MD	Distribution limited to DoD agencies only.	C
CB-075313		CB DW 535582 EDG E497846	Meeting of the Engineering and Production Committee, US Army Chemical Corps Advisory Council, 14-15	Lewis, Patricia J.	AC-61-S-13 DPG-61-0573 CRDL-TL-61-S-336 CRDL-TL-61-S-388 H0388610045	1961-03-01	CHEMICAL CORPS ARMY CHEMICAL CENTER MD	Distribution limited to DoD agencies only. NOFORN. This document contains export-	S/REL TO CANUKUS
CB-075314		CB DW 535583 EDG E497854	Meeting of the Engineering and Production Committee, US Army Chemical Corps Advisory Council, 30-31	Lewis, Patricia J.	AC-61-S-55 CRDL-62-S-34 CRDL-TL-62-S-124 H0124620044	1961-08-01	CHEMICAL CORPS ARMY CHEMICAL CENTER MD	Distribution limited to DoD agencies only. NOFORN. This document contains export-	S/REL TO CANUKUS
CB-075316		CB DW 535584 EDG E497858	Meeting of the Engineering and Production Committee, US Army Chemical Corps Advisory Council, 10-11	Lewis, Patricia J.	DPG-62-0097	1961-12-01	CHEMICAL CORPS ARMY CHEMICAL CENTER MD	Distribution authorized to DoD agencies only. NOFORN. This document contains export-	S/REL TO CANUKUS
CB-075538		CB EDG E502783	Second Review and Analysis, FY 1961, Process Development Division.		CWL-014-5-4	1961-01-03	CHEMICAL CORPS BIOLOGICAL LABS CAMP DETRICK MD PROCESS	Distribution limited to DoD agencies only.	C
CB-075539		CB EDG E502784	Third Review and Analysis, FY 1961, Process Development Division.		CWL-014-5-4	1961-03-31	CHEMICAL CORPS BIOLOGICAL LABS CAMP DETRICK MD PROCESS	Distribution limited to DoD agencies only.	C
CB-075540		CB EDG E502785	Fourth Review and Analysis, FY 1961, Process Development Division.		CWL-014-5-4	1961-06-29	CHEMICAL CORPS BIOLOGICAL LABS CAMP DETRICK MD PROCESS	Distribution limited to DoD agencies only.	C
CB-075541		CB EDG E502786	First Review and Analysis, FY 1962, Process Development Division.		CWL-014-5-4	1961-09-26	CHEMICAL CORPS BIOLOGICAL LABS CAMP DETRICK MD PROCESS	Distribution limited to DoD agencies only.	C
CB-075543		CB EDG E502787	Second Review and Analysis, FY 1962, Process Development Division.		CWL-014-5-4	1961-11-30	CHEMICAL CORPS BIOLOGICAL LABS CAMP DETRICK MD PROCESS	Distribution limited to DoD agencies only.	C
CB-075598		CB DW 535626	Quarterly Review and Analysis Summary. Quarterly Report No. 4, Fiscal Year 1961.		QR-4	1961-07-01	ARMY DUGWAY PROVING GROUND UT	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Nov 1988. Other	C
CB-075611		CB DW 535637 DW 540797	FY 1961 Review and Analysis No. 8, 27 April-7 June 1961, Biological Division.		DPG-61-1272	1961-06-08	DUGWAY PROVING GROUND UT BIOLOGICAL DIV	Distribution limited to DoD agencies only.	C
CB-075612		CB DW 535638 DW 540796	Seventh Biological Division Report, FY 1961, 8 March-26 April 1961.		DR-7 DPG-61-0951	1961-04-27	ARMY DUGWAY PROVING GROUND UT	Distribution limited to DoD agencies only.	C
CB-075613		CB DW 535639 DW 540795	Sixth BW Operations Report, FY 1961, 12 January-8 March 1961.		DPG-61-0551	1961-03-09	ARMY DUGWAY PROVING GROUND UT	Distribution limited to DoD agencies only.	C
CB-075767		CB EDG E505035	Preliminary Report on V-agent Pilot Plant Production Unit. Part 1, Section 5: Step 3 Process Details.	Stenger, Raymond C. Williams, Peter C. Richards, James C.	CDRL-61-S-1062	1961-01-01	CHEMICAL CORPS BIOLOGICAL LABS CAMP DETRICK MD PROCESS	Distribution limited to DoD agencies only.	S
CB-077616		CB EDG E498869	Status Report on CS 4640. Memorandum Report No. CP-3, 28 July 1961.	Anderson, Thomas D. Saul, Gerald K.	CP-3	1961-07-28	CHEMICAL CORPS BIOLOGICAL LABS CAMP DETRICK MD PROCESS	Distribution authorized to DoD agencies only.	C
CB-078156		CB DW 536335 EDG E497939	US Army Chemical Corps Advisory Council Newsletter No. 97, 20 March 1961.	Vogt, Tyree C.	NL-97 DTC-72-777 AC-61-S-18 CRDL-61-S-490 CRDL-TL-61-S-744 H0744610076	1961-03-20	CHEMICAL CORPS ARMY CHEMICAL CENTER MD	Distribution limited to DoD agencies only. NOFORN. This document contains export-	S/REL TO CANUKUS
CB-078319		CB DW 536650	Tactical Concepts for Employment of Modern CW Agents in Northern Latitudes.		DPG-62-0482 ARACD-59-2	1961-02-10	ARMY ALASKA APO SEATTLE 98749	Distribution limited to DoD agencies only.	C
CB-078487		CB DW 537033	Directorate of Chemical Defence Research and Development. Annual Report, 1961-1962.		DPG-62-2540	1961-01-01	MINISTRY OF SUPPLY LONDON (UNITED KINGDOM) DIRECTORATE OF	Distribution authorized to DoD agencies only; Foreign Government Information.	S
CB-078830		CB EDG E495481	Final Engineering Testing of the E20 Little John Warhead, GB. Draft Test Plan, 13 July 1961.	Neff, C. D.	DPG-TP-496	1961-07-13	ARMY DUGWAY PROVING GROUND UT	Distribution limited to DoD agencies only.	C
CB-078835		CB EDG E495484	Aerosol Diffusion from Line Source Releases Made Under Various Atmospheric Stability Conditions. Draft		DPG-TP-502-B DPG-61-0368	1961-02-01	ARMY DUGWAY PROVING GROUND UT	Distribution limited to DoD agencies only.	C
CB-079210		CB DW 501180	Final Engineering Testing of Warhead, GB, Little John, E20; Dissemination Testing of the E130R2 Bomblets		DPG-TP-593	1961-11-03	ARMY DUGWAY PROVING GROUND UT	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Mar 1986. Other	U
CB-079513		CB DW 535461 EDG E494400	C Point-source Alarm.		DPG-61-1755	1961-05-29	ARMY CHEMICAL CORPS RESEARCH AND DEVELOPMENT COMMAND	Distribution limited to DoD agencies only.	C
CB-080990		CB DW 535366 EDG E494993	Eleventh Joint Conference on the Field Test Programme, 24-26 May 1961.		DPG-61-1841	1961-06-16	DEFENCE RESEARCH ESTABLISHMENT SUFFIELD RALSTON (ALBERTA)	Distribution limited to DoD agencies only; Foreign Government Information.	S
CB-083483		CB DW 540786	Supplemental Data from Biological Trials Involving Exposures of Native Deer Mice.	Bushman, John B.	BE-325 DPG-61-1906	1961-08-21	UTAH UNIV SALT LAKE CITY	Distribution limited to DoD agencies only.	C
CB-083988		CB DW 540790	FY 1962 Review and Analysis No. 1, 8 June 1961-2 August 1961, Biological Division.		DPG-61-1740	1961-08-03	DUGWAY PROVING GROUND UT BIOLOGICAL DIV	Distribution limited to DoD agencies only.	C
CB-083995		CB DW 540792	FY 1962 Review and Analysis No. 2, 3 August-20 September 1961, Biological Division.		DPG-61-2339	1961-09-21	DUGWAY PROVING GROUND UT BIOLOGICAL DIV	Distribution authorized to DoD agencies only.	C
CB-084000		CB DW 540794	FY 1962 Review and Analysis No. 3, 22 September-21 November 1961, Biological Division.		DPG-61-2801	1961-11-22	DUGWAY PROVING GROUND UT BIOLOGICAL DIV	Distribution limited to DoD agencies only.	C
CB-084175		CB DW 535431	Area Briefs for Project WASP.	Collins, Roland H.	DTC-68-1289 DPG-61-0070	1961-01-01	ARMY DUGWAY PROVING GROUND UT	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Jun 1987. Other	S/NOFORN
CB-084203		CB DW 536309	Relative Pickup Characteristics of Agent and Simulant.		DPG-61-2073	1961-09-21	ARMY DUGWAY PROVING GROUND UT	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Jan 1988. Other	C
CB-084303		CB DW 535515	Report and Recommendations of the US Army Chemical Corps Advisory Council, 19-20 June 1961.		DPG-61-1577	1961-06-30	CHEMICAL CORPS ARMY CHEMICAL CENTER MD	Distribution limited to DoD agencies only.	C
CB-084305		CB DW 536112	Tactical Air-to-surface Conventional Weapons. Progress Report No. 14, May-June 1961.		PR-14 DPG-61-1917	1961-07-31	NAVAL ORDNANCE TEST STATION CHINA LAKE CA	Distribution limited to DoD agencies only.	C
CB-084351		CB DW 535758	Review and Analysis, 10 February-7 April 1961, Chemical Division.		DPG-61-0742	1961-04-07	ARMY DUGWAY PROVING GROUND UT	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Nov 1987. Other	C
CB-084353		CB DW 535759	Review and Analysis, 1 April-9 June 1961, Chemical Division.		DPG-61-1153	1961-06-09	CHEMICAL CORPS BIOLOGICAL LABS CAMP DETRICK MD PHYSICAL AND	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Nov 1987. Other	C
CB-084355		CB DW 535760	Review and Analysis, 9 June-4 August 1961, Chemical Division.		DPG-61-1719	1961-08-04	CHEMICAL CORPS BIOLOGICAL LABS CAMP DETRICK MD PHYSICAL AND	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Nov 1987. Other	C
CB-084356		CB DW 535761	Review and Analysis, 4 August-21 September 1961, Chemical Division.		DPG-61-2172	1961-09-21	CHEMICAL CORPS BIOLOGICAL LABS CAMP DETRICK MD PHYSICAL AND	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Nov 1987. Other	C
CB-084388		CB DW 536153	Monitorship of Research Collaboration in the CBR Fields.		DPG-61-0568	1961-02-21	TRIPARITE CBR STANDARDIZATION COMMITTEE EDGEWOOD ARSENAL MD	Distribution limited to DoD agencies only.	S
CB-084391		CB DW 536162	Project WASP Weapons System Handbook for Chemical and Biological Warheads Honest John Rocket.		DPG-61-0342 MC-S-99-61	1961-01-18	CHEMICAL CORPS ARMY CHEMICAL CENTER MD	Distribution limited to DoD agencies only.	S
CB-084414		CB DW 536908	Chemical Dissemination Test of SD-5 Drone.		DPG-TP-601 DPG-61-1084	1961-05-16	ARMY TEST AND EVALUATION COMMAND DUGWAY PROVING GROUND UT	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Feb 1988. Other	C
CB-084470		CB DW 536274	Quarterly Review and Analysis Summary. Third Quarter, Fiscal Year 1961.		DPG-61-0749	1961-04-20	ARMY DUGWAY PROVING GROUND UT	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Jan 1988. Other	C
CB-084484		CB DW 536777	Review and Analysis, 21 September-17 November 1961, Chemical Division.		DPG-61-2725	1961-11-17	CHEMICAL CORPS BIOLOGICAL LABS CAMP DETRICK MD PHYSICAL AND	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Jan 1988. Other	C
CB-084486		CB DW 536278	Review and Analysis, 9 December 1960-10 February 1961, CW Operations Division.		DPG-61-0382	1961-02-10	ARMY DUGWAY PROVING GROUND UT	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Jan 1988. Other	C
CB-084492		CB DW 536275	Quarterly Review and Analysis Summary. Second Quarter, Fiscal Year 1961.		DPG-61-0373	1961-02-20	ARMY DUGWAY PROVING GROUND UT	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Jan 1988. Other	C
CB-084501		CB DW 536945	DPG Test Plan 546.		DPG-TP-546 DPG-61-0265	1961-01-01	ARMY DUGWAY PROVING GROUND UT	Distribution limited to DoD agencies only.	S
CB-084524		CB DW 537078	Field Artillery Direct Support Weapon.		DPG-61-1733 CSCRD-21	1961-03-31	DEPARTMENT OF THE ARMY WASHINGTON DC	Distribution limited to DoD agencies only.	C
CB-084601		CB DW 537809	Technical Proposal, 2 June 1961.		W230-61 P-113-061 DPG-61-1140	1961-06-02	MELPAR FALLS CHURCH VA	Distribution limited to DoD agencies only.	C
CB-084711		CB DW 538371	Aerosolization of Liquid Preparations of Psittacosis at Two Relative Humidities.	Eckard, Cecil O.	A-4772	1961-04-19	FORT DETRICK FREDERICK MD	Distribution limited to US Gov't agencies only; Test and Evaluation; 1 Jan 1989. Other	C
CB-085177		CB DW 537768	Index of Mutual Weapons Development Program Agreements, 14 August 1961.			1961-08-14	OFFICE CHIEF OF RESEARCH AND DEVELOPMENT (ARMY) WASHINGTON DC	Distribution limited to DoD agencies only.	C
CB-085876		CB DW 537599	Working Paper No. ACC-1-1-61, 8 February 1961.	Greyson, Murray	WP-ACC-1-1-61	1961-02-08	DEPARTMENT OF THE INTERIOR WASHINGTON DC	Distribution limited to DoD agencies only.	S
CB-085879		CB DW 537610	Visit to Halifax, Nova Scotia to Observe BW Sea Trials of the Citadel on HMC St. Croix DDE 256.		DPG-61-2656	1961-11-08	DEPARTMENT OF THE NAVY WASHINGTON DC	Distribution limited to DoD agencies only.	S
CB-086883		CB DW 36527	Biological Feasibility Studies.			1961-10-27	FORT DETRICK FREDERICK MD	Distribution limited to DoD agencies only.	C
CB-086884		CB DW 36595	Quarterly Technical Report, 1 April-30 June 1961, Aerobiology Division.		IS-64-6-262	1961-06-30	CHEMICAL CORPS BIOLOGICAL LABS CAMP DETRICK MD APPLIED	Distribution limited to DoD agencies only.	C
CB-087003		CB DW 507648	Title Classified.			1961-01-01	CHEMICAL CORPS TECHNICAL COMMAND ARMY CHEMICAL CENTER MD	Distribution limited to DoD agencies only.	C
CB-087029		CB DW 536856	US Equipment Loaned to Canada, E25R2 BW Sampler.	Rolfe, G.	DPG-62-0112	1961-12-18	DEPARTMENT OF NATIONAL DEFENCE OTTAWA (ONTARIO)	Distribution limited to DoD agencies only; Foreign Government Information.	C
CB-087050		CB DW 536049	Demonstration No. 1/61, 23 May 1961.	Saunders, W. G. Bradshaw, A. E. Wheeler, C. L.	D-1-61 DPG-61-1245 PES-TG-1300-1408-61	1961-05-23	CHEMICAL DEFENCE EXPERIMENTAL ESTABLISHMENT PORTON DOWN	Distribution limited to DoD agencies only; Foreign Government Information.	C
CB-087136		CB DW 507643	Technical Program, CY 1961.	Achorn, G. B.		1961-03-01	DIRECTORATE OF BIOLOGICAL OPERATIONS PINE BLUFF ARSENAL AR	Distribution limited to DoD agencies only.	S
CB-087138		CB DW 507883	Extra-continental Chemical and Biological Test Requirements under DoD Project 112. Draft, December 1961.	Milly, George H. Cabrey, George Dorrell, William Gardner, John Garono, Louis Gibby, Irvin W.	DPG-62-0001	1961-12-01	OFFICE OF THE CHIEF CHEMICAL OFFICER (ARMY) WASHINGTON DC	Distribution limited to DoD agencies only.	S
CB-087162		CB DW 501395	Weapons Effects Manual. Performance Characteristics of Some Biological and Chemical Weapons. A	MacWaters, John T. Albert, Michael B. Bedford, Gwendolyn M. Berkowitz, Raymond S. Brink, Edward	DPG-61-0344	1961-01-15	PENNSYLVANIA UNIV PHILADELPHIA INST FOR COOPERATIVE RESEARCH	Distribution authorized to DoD agencies only.	C
CB-087458		CB DW 537496	The Forecasting of the Long-range Travel of Particulate Clouds. Porton Note No. 201, 6 March 1961.	Laird, A. R.	PN-201 DPG-61-2209	1961-03-06	CHEMICAL DEFENCE EXPERIMENTAL ESTABLISHMENT PORTON DOWN	Distribution limited to DoD agencies only; Foreign Government Information.	S
CB-087666		CB DW 537613	Mutual Weapons Development Program. Project Extension, Agreement N-08-MWP-A-59.		DPG-62-0779 H-61-FFIK-BO-IN-204-3-MWDP	1961-10-31	NORWEGIAN DEFENCE RESEARCH ESTABLISHMENT KJELLER	Distribution limited to DoD agencies only; Foreign Government Information.	S
CB-087669		CB DW 537778	Field Behavior of Smoke and Chemical Agents. Semiannual Progress Report, 1 January-30 June 1961.		DTC-68-1721 FFIS-204-3-MWDP-08-59	1961-06-30	NORWEGIAN DEFENCE RESEARCH ESTABLISHMENT KJELLER	Distribution limited to DoD agencies only; Foreign Government Information.	S
CB-087670		CB DW 537779	Field Behavior of Smoke and Chemical Agents. Semiannual Progress Report, 1 July-31 December 1961.		DTC-68-1720 FFIS-204-3-MWDP-08-59	1961-12-31	NORWEGIAN DEFENCE RESEARCH ESTABLISHMENT KJELLER	Distribution limited to DoD agencies only; Foreign Government Information.	S
CB-101807		CB DW 37046	Standardization of Production Process for an Anthrax Immunizing Antigen (Nonviable Vaccine).	Manning, L. C. Wilson, R. Sopovits, C. Newman, C. Barclay, E. S.		1961-08-31	MERCK AND CO INC RAHWAY NJ	Distribution limited to DoD agencies only. Other requests for this document shall be	U
CB-105058	254385	CB DT DW	Eastern Equine Encephalomyelitis Virus. A Survey and Analysis of the Literature.	Andrew, Vivian W. Dailey, Alfernia M. Smith, Dorothy G.		1961-04-01	ARMY BIOLOGICAL LABS FREDERICK MD	Distribution limited to US Gov't agencies and their contractors.	U
CB-107115	A357791	CB DT DW 554900	Selected Military Translations on Eastern Europe (7).		JPRS-4460	1961-03-16	JOINT PUBLICATIONS RESEARCH SERVICE ARLINGTON VA	Approved for Public Release; Distribution Unlimited.	U
CB-107186	A358934	CB DT DW 554907	Defense Against Chemical and Biological Weapons -- Hungary.	Erdos, Konrad Hum, Istvan	JPRS-4438 CSO-1497-S	1961-03-08	JOINT PUBLICATIONS RESEARCH SERVICE ARLINGTON VA	Approved for Public Release; Distribution Unlimited.	U
CB-111610	261861	CB DT DW 503818	Special Acceptance Test Performed on the Grumann Aircraft Engineering Corporation Model 128B10005-3		GRU3-4-V3	1961-04-18	ARMY BIOLOGICAL LABS FREDERICK MD	Approved for Public Release; Distribution Unlimited.	U
CB-114590		CB EDG E503833	Operating Plans -- Animal Supply Branch, Veterinary Services Branch. Second Quarter Review and Analysis,		CWL-014-5-10	1961-02-02	CHEMICAL CORPS BIOLOGICAL LABS CAMP DETRICK MD MEDICAL	Distribution limited to DoD agencies only.	U
CB-114591		CB EDG E503834	Operating Plans -- Animal Supply Branch, Veterinary Services Branch. Fourth Quarter Review and Analysis,		CWL-014-5-10	1961-07-27	CHEMICAL CORPS BIOLOGICAL LABS CAMP DETRICK MD MEDICAL	Distribution limited to DoD agencies only.	U
CB-122194	673772	CB DT DW 37558	Measurements of Electrostatic Charges on Men and Women in Various Clothes.	Owe Berg, T. G. Fernish, G. C. Hunkins, Margaret J.	AGC-0395-03-08-SP	1961-11-02	AEROJET-GENERAL CORP DOWNEY CA ORDNANCE DIV	Approved for Public Release; Distribution Unlimited.	U
CB-122195	610931	CB DT DW 527266	A Heavy-Current Microtron.	Kapitza, S. P. Bykov, V. P. Melekhin, V. N.	T-348-RTT-61-12598	1961-01-01	DIRECTORATE OF SCIENTIFIC INFORMATION SERVICES OTTAWA (ONTARIO)	Approved for Public Release; Distribution Unlimited.	U
CB-122196	607646	CB DT DW 526145	Aerial-Monitoring Operations Development.	Rehm, Fred R.	DASA-WT-1485	1961-06-11	FEDERAL CIVIL DEFENSE ADMINISTRATION BATTLE CREEK MICH	Approved for Public Release; Distribution Unlimited.	U
CB-122197	463248	CB DT DW 510567	Physical Inventory Accounting Program.	Ferrell, Wayne B.	TR-8	1961-01-31	DUKE UNIV DURHAM NC	Distribution limited to US Gov't agencies and their contractors.	U
CB-122199	438745	CB DT DW 38882	Bacteriological, Immunological and Viral Studies on Rectal Mucus in Enteric Infections (Shigellosis,	Nakamizo, Yasuzo		1961-12-31	TOKYO METROPOLITAN EBARA INFECTIOUS DISEASE HOSPITAL (JAPAN)	Approved for Public Release; Distribution Unlimited.	U
CB-122200	438701	CB DT DW 38829	Physico-chemical Studies on the Microsomal Ribonucleoprotein Particles.	Inouye, Akira		1961-12-14	KYOTO UNIV (JAPAN)	Approved for Public Release; Distribution Unlimited.	U
CB-122201	438700	CB DT DW 38828	Physico-chemical Studies on the Microsomal Ribonucleoprotein Particles.	Inouye, Akira		1961-09-14	KYOTO UNIV (JAPAN)	Approved for Public Release; Distribution Unlimited.	U
CB-122202	438699	CB DT DW 38827	Physico-chemical Studies on the Microsomal Ribonucleoprotein Particles.	Inouye, Akira		1961-06-14	KYOTO UNIV (JAPAN)	Approved for Public Release; Distribution Unlimited.	U
CB-122203	438538	CB DT DW 39216	Studies on Immunological Diagnosis and Therapy of Paragonimiasis.	Yokogawa, Muneo		1961-12-20	CHIBA UNIV (JAPAN)	Approved for Public Release; Distribution Unlimited.	U
CB-122204	416550	CB DT DW 528183	Investigation for Correlation of Chemical and Physical Properties of Phosphors.	Kallmann, H.		1961-04-30	NEW YORK UNIV NY COLL OF DENTISTRY	Distribution limited to US Gov't agencies and their contractors. No Foreign. This	U
CB-122212	322354	CB DT DW 513643	Minutes of the First Quarterly Review of Rocket Propellant Supporting Research Held at Picatinny Arsenal		TN-34	1961-02-01	PICATINNY ARSENAL DOVER NJ FELTMAN RESEARCH LABS	Distribution limited to US Gov't agencies and their contractors.	U
